ccy1,ccy2,from_maturity,to_maturity
AUD,USD,ON,ON+1
AUD,USD,SP,:BOM1
AUD,USD,SP,:BOM10
AUD,USD,SP,:BOM11
AUD,USD,SP,:BOM12
AUD,USD,SP,:BOM1F
AUD,USD,SP,:BOM2
AUD,USD,SP,:BOM3
AUD,USD,SP,:BOM4
AUD,USD,SP,:BOM5
AUD,USD,SP,:BOM6
AUD,USD,SP,:BOM7
AUD,USD,SP,:BOM8
AUD,USD,SP,:BOM9
AUD,USD,SP,:EOM1
AUD,USD,SP,:EOM10
AUD,USD,SP,:EOM11
AUD,USD,SP,:EOM12
AUD,USD,SP,:EOM12F
AUD,USD,SP,:EOM2
AUD,USD,SP,:EOM3
AUD,USD,SP,:EOM4
AUD,USD,SP,:EOM5
AUD,USD,SP,:EOM6
AUD,USD,SP,:EOM7
AUD,USD,SP,:EOM8
AUD,USD,SP,:EOM9
AUD,USD,SP,:FED_Jan_25
AUD,USD,SP,:FED_Jun_25
AUD,USD,SP,:FED_Mar_25
AUD,USD,SP,:FED_May_25
AUD,USD,SP,:FED_Oct_25
AUD,USD,SP,:FED_Sep_25
AUD,USD,SP,:IMM1
AUD,USD,SP,:IMM2
AUD,USD,SP,:IMM3
AUD,USD,SP,:IMM4
AUD,USD,SP,:RBA_Feb_25
AUD,USD,SP,:RBA_May_25
AUD,USD,SP,10M
AUD,USD,SP,10Y
AUD,USD,SP,11M
AUD,USD,SP,12M
AUD,USD,SP,15M
AUD,USD,SP,18M
AUD,USD,SP,1M
AUD,USD,SP,1W
AUD,USD,SP,21M
AUD,USD,SP,2M
AUD,USD,SP,2W
AUD,USD,SP,2Y
AUD,USD,SP,30M
AUD,USD,SP,3M
AUD,USD,SP,3W
AUD,USD,SP,3Y
AUD,USD,SP,4M
AUD,USD,SP,4Y
AUD,USD,SP,5M
AUD,USD,SP,5Y
AUD,USD,SP,6M
AUD,USD,SP,6Y
AUD,USD,SP,7M
AUD,USD,SP,7Y
AUD,USD,SP,8M
AUD,USD,SP,8Y
AUD,USD,SP,9M
AUD,USD,SP,9Y
AUD,USD,SP,SN
AUD,USD,TN,TN+1
EUR,RON,ON,ON+1
EUR,RON,SP,:BOM1
EUR,RON,SP,:BOM10
EUR,RON,SP,:BOM11
EUR,RON,SP,:BOM12
EUR,RON,SP,:BOM1F
EUR,RON,SP,:BOM2
EUR,RON,SP,:BOM3
EUR,RON,SP,:BOM4
EUR,RON,SP,:BOM5
EUR,RON,SP,:BOM6
EUR,RON,SP,:BOM7
EUR,RON,SP,:BOM8
EUR,RON,SP,:BOM9
EUR,RON,SP,:EOM1
EUR,RON,SP,:EOM10
EUR,RON,SP,:EOM11
EUR,RON,SP,:EOM12
EUR,RON,SP,:EOM12F
EUR,RON,SP,:EOM2
EUR,RON,SP,:EOM3
EUR,RON,SP,:EOM4
EUR,RON,SP,:EOM5
EUR,RON,SP,:EOM6
EUR,RON,SP,:EOM7
EUR,RON,SP,:EOM8
EUR,RON,SP,:EOM9
EUR,RON,SP,:IMM1
EUR,RON,SP,:IMM2
EUR,RON,SP,:IMM3
EUR,RON,SP,:IMM4
EUR,RON,SP,10M
EUR,RON,SP,11M
EUR,RON,SP,12M
EUR,RON,SP,15M
EUR,RON,SP,18M
EUR,RON,SP,1M
EUR,RON,SP,1W
EUR,RON,SP,2M
EUR,RON,SP,2W
EUR,RON,SP,2Y
EUR,RON,SP,3M
EUR,RON,SP,3W
EUR,RON,SP,4M
EUR,RON,SP,5M
EUR,RON,SP,6M
EUR,RON,SP,7M
EUR,RON,SP,8M
EUR,RON,SP,9M
EUR,RON,SP,SN
EUR,RON,TN,TN+1
EUR,USD,ON,ON+1
EUR,USD,SP,:BOM1
EUR,USD,SP,:BOM10
EUR,USD,SP,:BOM11
EUR,USD,SP,:BOM12
EUR,USD,SP,:BOM1F
EUR,USD,SP,:BOM2
EUR,USD,SP,:BOM3
EUR,USD,SP,:BOM4
EUR,USD,SP,:BOM5
EUR,USD,SP,:BOM6
EUR,USD,SP,:BOM7
EUR,USD,SP,:BOM8
EUR,USD,SP,:BOM9
EUR,USD,SP,:BOQ6
EUR,USD,SP,:BOQ7
EUR,USD,SP,:BOQ8
EUR,USD,SP,:BOQ9
EUR,USD,SP,:ECB_Apr_25
EUR,USD,SP,:ECB_Feb_25
EUR,USD,SP,:ECB_Jul_25
EUR,USD,SP,:ECB_Jun_25
EUR,USD,SP,:ECB_Mar_25
EUR,USD,SP,:EOM1
EUR,USD,SP,:EOM10
EUR,USD,SP,:EOM10
EUR,USD,SP,:EOM11
EUR,USD,SP,:EOM11
EUR,USD,SP,:EOM12
EUR,USD,SP,:EOM12
EUR,USD,SP,:EOM12F
EUR,USD,SP,:EOM2
EUR,USD,SP,:EOM3
EUR,USD,SP,:EOM3
EUR,USD,SP,:EOM4
EUR,USD,SP,:EOM4
EUR,USD,SP,:EOM5
EUR,USD,SP,:EOM6
EUR,USD,SP,:EOM6
EUR,USD,SP,:EOM7
EUR,USD,SP,:EOM8
EUR,USD,SP,:EOM9
EUR,USD,SP,:EOM9
EUR,USD,SP,:EOQ5
EUR,USD,SP,:EOQ6
EUR,USD,SP,:EOQ7
EUR,USD,SP,:EOQ8
EUR,USD,SP,:FED_Dec2
EUR,USD,SP,:FED_Jan_25
EUR,USD,SP,:FED_Jun_25
EUR,USD,SP,:FED_Mar_25
EUR,USD,SP,:FED_May_25
EUR,USD,SP,:FED_Nov2
EUR,USD,SP,:FED_Oct_25
EUR,USD,SP,:FED_Sep_25
EUR,USD,SP,:FED_Sep2
EUR,USD,SP,:IMM1
EUR,USD,SP,:IMM2
EUR,USD,SP,:IMM3
EUR,USD,SP,:IMM4
EUR,USD,SP,10M
EUR,USD,SP,10Y
EUR,USD,SP,11M
EUR,USD,SP,12M
EUR,USD,SP,15M
EUR,USD,SP,18M
EUR,USD,SP,1M
EUR,USD,SP,1W
EUR,USD,SP,21M
EUR,USD,SP,2M
EUR,USD,SP,2W
EUR,USD,SP,2Y
EUR,USD,SP,30M
EUR,USD,SP,3M
EUR,USD,SP,3W
EUR,USD,SP,3Y
EUR,USD,SP,4M
EUR,USD,SP,4Y
EUR,USD,SP,5M
EUR,USD,SP,5Y
EUR,USD,SP,6M
EUR,USD,SP,6Y
EUR,USD,SP,7M
EUR,USD,SP,7Y
EUR,USD,SP,8M
EUR,USD,SP,8Y
EUR,USD,SP,9M
EUR,USD,SP,9Y
EUR,USD,SP,SN
EUR,USD,TN,TN+1
GBP,USD,ON,ON+1
GBP,USD,SP,:BOE_Aug_25
GBP,USD,SP,:BOE_Feb_25
GBP,USD,SP,:BOM1
GBP,USD,SP,:BOM10
GBP,USD,SP,:BOM11
GBP,USD,SP,:BOM12
GBP,USD,SP,:BOM1F
GBP,USD,SP,:BOM2
GBP,USD,SP,:BOM3
GBP,USD,SP,:BOM4
GBP,USD,SP,:BOM5
GBP,USD,SP,:BOM6
GBP,USD,SP,:BOM7
GBP,USD,SP,:BOM8
GBP,USD,SP,:BOM9
GBP,USD,SP,:BOQ6
GBP,USD,SP,:BOQ7
GBP,USD,SP,:BOQ8
GBP,USD,SP,:BOQ9
GBP,USD,SP,:EOM1
GBP,USD,SP,:EOM10
GBP,USD,SP,:EOM11
GBP,USD,SP,:EOM12
GBP,USD,SP,:EOM12F
GBP,USD,SP,:EOM2
GBP,USD,SP,:EOM3
GBP,USD,SP,:EOM4
GBP,USD,SP,:EOM5
GBP,USD,SP,:EOM6
GBP,USD,SP,:EOM7
GBP,USD,SP,:EOM8
GBP,USD,SP,:EOM9
GBP,USD,SP,:EOQ5
GBP,USD,SP,:EOQ6
GBP,USD,SP,:EOQ7
GBP,USD,SP,:EOQ8
GBP,USD,SP,:FED_Jan_25
GBP,USD,SP,:FED_Jun_25
GBP,USD,SP,:FED_Mar_25
GBP,USD,SP,:FED_May_25
GBP,USD,SP,:FED_Oct_25
GBP,USD,SP,:FED_Sep_25
GBP,USD,SP,:IMM1
GBP,USD,SP,:IMM2
GBP,USD,SP,:IMM3
GBP,USD,SP,:IMM4
GBP,USD,SP,10M
GBP,USD,SP,10Y
GBP,USD,SP,11M
GBP,USD,SP,12M
GBP,USD,SP,15M
GBP,USD,SP,18M
GBP,USD,SP,1M
GBP,USD,SP,1W
GBP,USD,SP,21M
GBP,USD,SP,2M
GBP,USD,SP,2W
GBP,USD,SP,2Y
GBP,USD,SP,30M
GBP,USD,SP,3M
GBP,USD,SP,3W
GBP,USD,SP,3Y
GBP,USD,SP,4M
GBP,USD,SP,4Y
GBP,USD,SP,5M
GBP,USD,SP,5Y
GBP,USD,SP,6M
GBP,USD,SP,6Y
GBP,USD,SP,7M
GBP,USD,SP,7Y
GBP,USD,SP,8M
GBP,USD,SP,8Y
GBP,USD,SP,9M
GBP,USD,SP,9Y
GBP,USD,SP,SN
GBP,USD,TN,TN+1
NZD,USD,ON,ON+1
NZD,USD,SP,:BOM1
NZD,USD,SP,:BOM10
NZD,USD,SP,:BOM11
NZD,USD,SP,:BOM12
NZD,USD,SP,:BOM1F
NZD,USD,SP,:BOM2
NZD,USD,SP,:BOM3
NZD,USD,SP,:BOM4
NZD,USD,SP,:BOM5
NZD,USD,SP,:BOM6
NZD,USD,SP,:BOM7
NZD,USD,SP,:BOM8
NZD,USD,SP,:BOM9
NZD,USD,SP,:EOM1
NZD,USD,SP,:EOM10
NZD,USD,SP,:EOM11
NZD,USD,SP,:EOM12
NZD,USD,SP,:EOM12F
NZD,USD,SP,:EOM2
NZD,USD,SP,:EOM3
NZD,USD,SP,:EOM4
NZD,USD,SP,:EOM5
NZD,USD,SP,:EOM6
NZD,USD,SP,:EOM7
NZD,USD,SP,:EOM8
NZD,USD,SP,:EOM9
NZD,USD,SP,:FED_Jan_25
NZD,USD,SP,:FED_Jun_25
NZD,USD,SP,:FED_Mar_25
NZD,USD,SP,:FED_May_25
NZD,USD,SP,:FED_Oct_25
NZD,USD,SP,:FED_Sep_25
NZD,USD,SP,:IMM1
NZD,USD,SP,:IMM2
NZD,USD,SP,:IMM3
NZD,USD,SP,:IMM4
NZD,USD,SP,10M
NZD,USD,SP,11M
NZD,USD,SP,12M
NZD,USD,SP,15M
NZD,USD,SP,18M
NZD,USD,SP,1M
NZD,USD,SP,1W
NZD,USD,SP,21M
NZD,USD,SP,2M
NZD,USD,SP,2W
NZD,USD,SP,2Y
NZD,USD,SP,30M
NZD,USD,SP,3M
NZD,USD,SP,3W
NZD,USD,SP,3Y
NZD,USD,SP,4M
NZD,USD,SP,4Y
NZD,USD,SP,5M
NZD,USD,SP,5Y
NZD,USD,SP,6M
NZD,USD,SP,7M
NZD,USD,SP,8M
NZD,USD,SP,9M
NZD,USD,SP,SN
NZD,USD,TN,TN+1
USD,AED,ON,ON+1
